subscription_id,transaction_id,customer_id,customer_email,plan_name,billing_cycle,status,current_period_start,current_period_end,created,canceled_at,churn_reason,valid_from,valid_to,is_current
sub_deeadef0-4b49-4aec-8f97-8c54d97d5dbf,txn_4501af3c-c8e5-41ad-a751-977394df30b6,cus_516237dc-c8bb-4e5c-8cbc-9b071b9da9be,pham_lan50263@gmail.com,Standard,Monthly,Active,2025-01-03 18:39:00,2025-02-03 18:39:00,2025-01-03 18:39:00,,,2025-01-03 18:39:00,2025-01-11 18:39:00,False
sub_d39c1b8d-90c1-49ec-88a4-6d480c10d1f3,txn_2bf5a4ce-77a0-46cb-9da2-79be7a442802,cus_ac3cb695-01f7-46d0-9b14-61a281801393,dang.quan97697@gmail.com,Basic,Monthly,Active,2025-01-04 11:16:00,2025-02-04 11:16:00,2025-01-04 11:16:00,,,2025-01-04 11:16:00,2025-02-04 11:16:00,False
sub_f688a159-caec-4bd1-9528-8ded539ed9c9,txn_23b8025b-f38a-46e8-b494-64350c161824,cus_22f5cdd4-b011-48b8-bb02-db65b4568f69,huong.phan30078@gmail.com,Basic,Monthly,Active,2025-01-05 20:39:00,2025-02-05 20:39:00,2025-01-05 20:39:00,,,2025-01-05 20:39:00,2025-02-05 20:39:00,False
sub_01c3895b-9cf5-45e1-8d39-5ce93858554a,txn_0d056eae-0385-4bbb-afb4-559fae5781e1,cus_f0d8866e-7aeb-4749-8a08-5520f5542c76,duc_bui88829@gmail.com,Basic,Monthly,active,2025-01-06 09:14:00,2025-02-06 09:14:00,2025-01-06 09:14:00,,,2025-01-06 09:14:00,2025-01-21 09:14:00,False
sub_4e752bf2-ae34-4ebb-8a00-8c05b448ea92,txn_1bb9b4d9-2356-4c2c-bdf9-9d724f09de0e,cus_6d799297-b5c3-4867-8b97-6dbfa9292d06,quynh_bui58994@gmail.com,Standard,Annual,Active,2025-01-07 12:34:00,2026-01-07 12:34:00,2025-01-07 12:34:00,,,2025-01-07 12:34:00,2025-03-20 12:34:00,False
sub_cfc7184c-787b-4df6-b98c-9428f1752060,txn_6c6e4155-d199-45b9-be77-cfcc11942a33,cus_c5d6575b-2768-4ae3-93e1-df643ce66d87,vu_lan62455@gmail.com,Basic,Monthly,active,2025-01-09 14:40:00,2025-02-09 14:40:00,2025-01-09 14:40:00,,,2025-01-09 14:40:00,2025-01-28 14:40:00,False
sub_cb639119-22ff-4467-bda5-d0652275a1e4,txn_47e89f43-0368-4781-9f26-cb3040d2fbd5,cus_8123cb5a-c06f-49de-be4d-e781f0838aa4,ho_khoa75403@gmail.com,Basic,Annual,Active,2025-01-10 10:23:00,2026-01-10 10:23:00,2025-01-10 10:23:00,,,2025-01-10 10:23:00,,True
sub_243c2d7e-06bf-4201-9c6d-4dd4c81de691,txn_04345918-fdc4-4f0e-a55d-b7aed28ada00,cus_715d5f10-e2e2-4736-b8b2-af3434ba9ebe,quynh_bui44073@gmail.com,Basic,Annual,active,2025-01-10 15:32:00,2026-01-10 15:32:00,2025-01-10 15:32:00,,,2025-01-10 15:32:00,2025-01-21 15:32:00,False
sub_9b9ce366-9243-4d01-b8c1-96454f43ddaf,txn_5d2d5ff6-0be3-46bf-a4b1-4acd6aa6bfe8,cus_f23790d2-9be7-4ba1-883e-e3bf9eda5326,dang_phuong80009@gmail.com,Premium,Annual,Active,2025-01-11 13:52:00,2026-01-11 13:52:00,2025-01-11 13:52:00,,,2025-01-11 13:52:00,2025-01-26 13:52:00,False
sub_deeadef0-4b49-4aec-8f97-8c54d97d5dbf,,cus_516237dc-c8bb-4e5c-8cbc-9b071b9da9be,pham_lan50263@gmail.com,Standard,Monthly,Canceled,2025-01-03 18:39:00,2025-02-03 18:39:00,2025-01-11 18:39:00,2025-01-11 18:39:00,Found alternative,2025-01-11 18:39:00,,True
