ticket_id,requester_email,requester_name,ticket_type,subject,description,priority,status,channel,created_at,first_response_at,solved_at,updated_at,first_reply_time,full_resolution_time,satisfaction_rating
ticket_d354b849-ab57-45f1-af17-da72a6687ad4,quynh_pham68643@gmail.com,Quỳnh Phạm,Device / Compatibility,UI broken in tablet mode,App force closes immediately on my iPhone with iOS 19.,Normal,Solved,Email,2025-01-26 17:07:39,2025-01-28 16:34:02,2025-01-28 17:40:03,2025-01-28 17:40:03,47.21,47.84,3.0
ticket_ac4e4e4c-1168-4adc-9631-b952f029fd9f,tran.duc32970@gmail.com,Đức Trần,Performance / Speed,Frequent crashes on Android,Main screen takes 15+ seconds to load on WiFi.,Normal,Solved,Email,2025-01-26 19:56:35,2025-01-27 03:19:03,2025-01-27 15:21:47,2025-01-27 15:21:47,6.82,19.42,
ticket_e5bb4c60-7f91-4d6c-b669-860ab20d5b50,nguyen.linh20121@gmail.com,Linh Nguyễn,Feedback / Complaint,Support reply too slow,"Ads appear too frequently in free plan, very annoying.",Normal,Closed,Web,2025-01-28 16:14:47,2025-01-29 00:19:47,2025-01-29 17:48:59,2025-01-29 17:48:59,8.05,24.82,
ticket_e7bb84ce-6da4-4afe-ba29-a4e430bc54f2,nguyen_anh96044@gmail.com,Anh Nguyễn,Login & Authentication,Cannot reset password - no email received,Sign in with Google button does nothing on Chrome.,High,Solved,Web,2025-01-31 09:01:54,2025-01-31 14:24:54,2025-01-31 15:36:54,2025-01-31 15:36:54,4.85,5.95,4.0
ticket_8264ea3b-70bd-4b81-8768-3071bbcb7fbd,thao_do93444@gmail.com,Thảo Đỗ,Feedback / Complaint,Content quality dropped recently,The interface looks old compared to other apps.,Normal,Pending,Email,2025-02-06 11:05:54,,,2025-02-09 08:05:54,,,
ticket_f7e9e30f-ad4a-4a30-9a3b-adca97c97a4a,nguyen.lan99865@gmail.com,Lan Nguyễn,Performance / Speed,Video buffering forever,Videos keep buffering even on fast internet.,High,New,Web,2025-02-06 21:47:19,2025-02-07 09:47:19,,2025-02-09 21:47:19,12.0,,
ticket_fb64e170-8b1c-4a63-8692-8aa11d2d1917,DUC.DO38928@GMAIL.COM,Đức Đỗ,Device / Compatibility,Not working on Galaxy S23,App force closes immediately on my iPhone with iOS 19.,Normal,Closed,Chat,2025-02-07 11:28:18,2025-02-07 13:52:54,2025-02-08 06:55:06,2025-02-08 06:55:06,2.26,18.78,4.0
ticket_8d064a6e-6959-408e-92eb-26bd6f78087a,thao_do93444@gmail.com,Thảo Đỗ,Feature Usage Help,Where is my progress tracker?,How do I download all my workout history as CSV?,Urgent,Closed,social_media,2025-02-07 11:51:33,2025-02-07 16:27:09,2025-02-08 02:52:33,2025-02-08 02:52:33,4.36,14.2,4.0
ticket_dc90e650-5698-461c-b72d-0c241c9c7b68,le_ngan37086@gmail.com,Ngân Lê,Feedback / Complaint,Support reply too slow,Updates lately made content less helpful than before.,Normal,Closed,Chat,2025-02-08 18:33:04,2025-02-08 21:39:40,2025-02-09 02:44:28,2025-02-09 02:44:28,2.36,7.89,4.0
ticket_7ae57503-c81d-473b-b251-4807ec752656,ho.dung41517@gmail.com,Dung Hồ,Performance / Speed,App loads very slowly,Main screen takes 15+ seconds to load on WiFi.,Normal,Closed,Chat,2025-02-09 15:14:43,2025-02-09 16:27:19,2025-02-10 02:07:31,2025-02-10 02:07:31,0.56,10.23,
