transaction_id,customer_id,cust_email,transaction_type,quantity,price,discount,currency,status,payment_method,failure_code,transaction_date,created_at,refunded,refund_amount,description
txn_905a7314-65a0-4776-bd1c-5b8bae8bf1e2,cus_516237dc-c8bb-4e5c-8cbc-9b071b9da9be,pham_lan50263@gmail.com,NA,1,14.99,0.0,USD,Failed,Credit Card,Card Decline,2025-01-02 18:39:00,2025-01-02 18:39:00,,,Payment failed for Premium Monthly (attempt 1)
txn_4501af3c-c8e5-41ad-a751-977394df30b6,cus_516237dc-c8bb-4e5c-8cbc-9b071b9da9be,pham_lan50263@gmail.com,subscription_payment_new,1,9.99,0.0,USD,succeeded,Credit Card,,2025-01-03 18:39:00,2025-01-03 18:39:00,,,Payment for Standard Monthly (subscription_payment_new)
txn_2bf5a4ce-77a0-46cb-9da2-79be7a442802,cus_ac3cb695-01f7-46d0-9b14-61a281801393,dang.quan97697@gmail.com,subscription_payment_new,1,4.99,0.0,USD,Succeeded,Bank Transfer,,2025-01-04 11:16:00,2025-01-04 11:16:00,,,Payment for Basic Monthly (subscription_payment_new)
txn_575bbf6c-ea60-417c-8402-40cfaeda848c,cus_6d799297-b5c3-4867-8b97-6dbfa9292d06,quynh_bui58994@gmail.com,subscription_payment_new,1,4.99,0.0,USD,FAILED,Credit Card,Invalid card details,2025-01-04 12:34:00,2025-01-04 12:34:00,,,Payment failed for Basic Monthly (attempt 1)
txn_23b8025b-f38a-46e8-b494-64350c161824,cus_22f5cdd4-b011-48b8-bb02-db65b4568f69,huong.phan30078@gmail.com,subscription_payment_new,1,4.99,0.0,USD,Succeeded,Credit Card,,2025-01-05 20:39:00,2025-01-05 20:39:00,,,Payment for Basic Monthly (subscription_payment_new)
txn_0d056eae-0385-4bbb-afb4-559fae5781e1,cus_f0d8866e-7aeb-4749-8a08-5520f5542c76,duc_bui88829@gmail.com,subscription_payment_new,1,4.99,0.0,usd,Succeeded,Debit Card,,2025-01-06 09:14:00,2025-01-06 09:14:00,,,Payment for Basic Monthly (subscription_payment_new)
txn_1bb9b4d9-2356-4c2c-bdf9-9d724f09de0e,cus_6d799297-b5c3-4867-8b97-6dbfa9292d06,quynh_bui58994@gmail.com,subscription_payment_new,12,9.99,0.2,USD,Succeeded,Bank Transfer,,2025-01-07 12:34:00,2025-01-07 12:34:00,,,"Payment for Standard Annual (annual, 20% discount) (subscription_payment_new)"
txn_963173eb-b2da-403d-976a-d95842818089,cus_a0388fa5-d550-4985-9970-c7fdf4df1cca,vy_tran53444@gmail.com,subscription_payment_new,1,9.99,0.0,USD,Failed,Apple Pay,Card Decline,2025-01-09 10:47:00,2025-01-09 10:47:00,,,Payment failed for Standard Monthly (attempt 1)
txn_6c6e4155-d199-45b9-be77-cfcc11942a33,cus_c5d6575b-2768-4ae3-93e1-df643ce66d87,vu_lan62455@gmail.com,subscription_payment_new,1,4.99,0.0,Usd,Succeeded,Credit Card,,2025-01-09 14:40:00,2025-01-09 14:40:00,,,Payment for Basic Monthly (subscription_payment_new)
txn_47e89f43-0368-4781-9f26-cb3040d2fbd5,cus_8123cb5a-c06f-49de-be4d-e781f0838aa4,HO_KHOA75403@GMAIL.COM,subscription_payment_new,12,4.99,0.3,USD,Succeeded,Credit Card,,2025-01-10 10:23:00,2025-01-10 10:23:00,,,"Payment for Basic Annual (annual, 30% discount) (subscription_payment_new)"
txn_04345918-fdc4-4f0e-a55d-b7aed28ada00,cus_715d5f10-e2e2-4736-b8b2-af3434ba9ebe,quynh_bui44073@gmail.com,subscription_payment_new,12,4.99,0.5,usd,Succeeded,Debit Card,,2025-01-10 15:32:00,2025-01-10 15:32:00,,,"Payment for Basic Annual (annual, 50% discount) (subscription_payment_new)"
txn_5d2d5ff6-0be3-46bf-a4b1-4acd6aa6bfe8,cus_f23790d2-9be7-4ba1-883e-e3bf9eda5326,dang_phuong80009@gmail.com,subscription_payment_new,12,14.99,0.4,USD,Succeeded,Credit Card,,2025-01-11 13:52:00,2025-01-11 13:52:00,,,"Payment for Premium Annual (annual, 40% discount) (subscription_payment_new)"
txn_186ccbe7-b7dc-4d24-9167-a8618655f259,cus_a0388fa5-d550-4985-9970-c7fdf4df1cca,vy_tran53444@gmail.com,subscription_payment_new,1,4.99,0.0,USD,Succeeded,Credit Card,,2025-01-12 10:47:00,2025-01-12 10:47:00,,,Payment for Basic Monthly (subscription_payment_new)
