user_id,first_name,last_name,gender,email,country,signup_date,lead_source,phone,created_date
user_7e9db7c6-03ba-4408-996a-1b58289438c7,Hương,Hồ,Female, huong.ho78082@gmail.com,VN,2025-01-01,Referral,+84 557026018,2025-01-01 08:17:00
user_7969ba43-5861-4bf0-9e82-ef05d870f330,Hùng,Phan,Male,phan.hung88310@gmail.com,VN,2025-01-01,Email Marketing,0653630780,2025-01-01 08:52:00
user_4d0a64cb-672a-494d-adf1-1ca024601671,Đức,Bùi,Male,duc_bui88829@gmail.com,VN,2025-01-01,Content Marketing,0346857170,2025-01-01 09:14:00
user_23d6fa8f-8903-42c6-b9ae-382f58de54a8,Lan,Phạm,Female,PHAM.LAN50434@GMAIL.COM,VN,2025-01-01,Partner,0716316950,2025-01-01 09:15:00
user_29f3b75c-e004-496b-b8da-b3947108cca3,Anh,Phạm,Male,pham.anh25023@gmail.com,VN,2025-01-01,Content Marketing,+84 317261947,2025-01-01 09:32:00
user_dbbdb343-f809-4f59-8d53-15a32c350447,Nam,Đặng,Male,nam.dang18790@gmail.com,VN,2025-01-01,Organic Search,,2025-01-01 10:38:00
user_05dd12cb-9501-4a42-ab91-0b041a3063b8,Hương,Phạm,Female,huong_pham97279@gmail.com,VN,2025-01-01,Email Marketing,84832180567,2025-01-01 11:06:00
user_a1fc9025-e89e-481d-ab50-1e684a894027,Nam,Hồ,Male,ho.nam20509@gmail.com,VN,2025-01-01,Events,84428828832,2025-01-01 11:19:00
user_cd4edab3-8101-43e9-bbc4-ce37eace55d2,Lan,Vũ,Female,lan_vu67993@gmail.com ,VN,2025-01-01,Referral,84736159274,2025-01-01 11:38:00
user_ad13a30f-baf6-4709-ba95-42a1965a6c32,Quỳnh,Bùi,Female,quynh_bui58994@gmail.com,VN,2025-01-01,Organic Search,0534169456,2025-01-01 12:34:00
user_c6f4c2fb-8a40-4445-b694-68319cdb4ec2,Đức,Đỗ,Male,duc_do73983@gmail.com ,VN,2025-01-01,Referral,+84 744412829,2025-01-01 12:40:00
user_28ef22bc-def0-4c42-ac14-7bf7d00473fc,Thảo,Bùi,Female,thao.bui41895@gmail.com,VN,2025-01-01,Organic Search,84475288834,2025-01-01 12:50:00
user_f52e9fa4-9402-4c72-aa6d-3fe41e1a1be5,Đức,Phan,Male,phan_duc56763_at_gmail.com,VN,2025-01-01,Referral,84542603126,2025-01-01 13:07:00
user_93f27b1c-799c-493f-82aa-233c70d30ed8,Lan,Vũ,Female,vu.lan92099@gmail.com,VN,2025-01-01,Organic Search,0898131796,2025-01-01 13:16:00
